#course,section,pts,days,start,end,last,first,middle
ELEN E4312,001,3,ANALOG ELECTRONIC CIRCUITS,T,1900,2130,Dickson,Timothy,,
ELEN E4411,001,3,FUNDAMENTALS OF PHOTONICS,T,1010,1240,Osgood,Richard M Jr.,,
ELEN E4488,001,3,OPTICAL SYSTEMS,R,1310,1540,Hendon,Christine,P,
ELEN E4702,001,3,DIGITAL COMMUNICATIONS,F,1310,1540,Sun,Yi,,
ELEN E4750,001,3,SP & COMM ON MOBILE MULTI PROC,R,1310,1540,Kostic,Zoran,,
ELEN E4810,001,3,DIGITAL SIGNAL PROCESSING,MW,1010,1125,Wright,John,,
ELEN E4944,001,3,PRINCIPALS OF DEVICE MICROFAB,M,1610,1840,Laibowitz,Robert,B,
ELEN E6320,001,3,MILLIMETER-WAVE IC DESIGN,TR,1440,1555,Krishnaswamy,Harish,,
ELEN E6413,001,3,LIGHTWAVE SYSTEMS,M,1310,1540,Feuer,Mark,,
ELEN E6718,001,3,ALGEBRAIC CODING THEORY,W,1900,2130,Yang,Kai,,
ELEN E6761,001,3,Communication Networks,TR,1010,1125,Ghaderi,Javad,,
ELEN E6770,001,3,TOPIC NEXT GEN NETWORKS,R,1610,1840,Sabnani,Krishnan,,
ELEN E6773,001,3,TPCS:INTERNET,ECONOMICS & ENG,MW,1140,1255,Mitra,Debasis,,
ELEN E6776,001,3,TOPIC CONTENT DISTRIBU NET,W,1610,1840,Walid,Anwar,I,
ELEN E6860,001,3,ADV DIGITAL SIGNAL PROCESSING,F,1010,1240,Nguyen,Truong-Thao,,
ELEN E6873,001,3,DETECTION & ESTIMATION THEORY,T,1900,2130,Li,Ta-Hsin,,
ELEN E6883,001,3,MODERN STORAGE SYSTEMS,M,1900,2130,Aggarwal,Vanett,,
ELEN E6901,001,3,TPC: ADV IN PHASE LOCKED LOOPS,M,1010,1240,Kinget,Peter,,
ELEN E6907,001,3,TOPIC: EMERG NANO DEVICES,F,1310,1540,Franklin,Aaron,,
ELEN E6920,001,3,TOPIC VLSI FOR SIGNAL PROC,W,1010,1240,Seok,Mingoo,,
ELEN E6945,001,3,DEVICE NANOFABRICATION,T,1310,1540,Wind,Shalom,J,
ELEN E9801,001,3,SEMINAR IN SIGNAL PROCESSING,R,1610,1840,Paisley,John,W,
